date,open,high,low,close
44525.00 ,57003.4,59444.4,56992.6,58931.2
44526.00 ,58931.3,59361.3,53577.3,54099
44527.00 ,54095.6,55314.4,53557,54917.5
44528.00 ,54895,56765.8,53529.9,56094.7
44529.00 ,56071.9,58900,56071.9,58117.1
44530.00 ,58113.1,59245,55958.3,57345
44531.00 ,57335.8,59112.9,56487.2,57077.7
44532.00 ,57104,57421.5,55855.5,56887.6
44533.00 ,56885,57660,51689.5,53440.3
44534.00 ,53431,53875.9,44582.5,49303.2
44535.00 ,49307,49783,47875.1,49338.3
44536.00 ,49335.7,51012.8,47241.4,50891.4
44537.00 ,50882.3,51988.7,50074.8,50261.9
44538.00 ,50268.9,51242.8,48673.1,50230.9
44539.00 ,50246.8,50843.4,47327.6,47958.5
44540.00 ,47960.2,50112.1,47312.6,47523.6
44541.00 ,47522.2,49300,46800,48854.8
44542.00 ,48853.8,50811.4,48675.6,50330.8
44543.00 ,50313.4,50397.5,45841.8,46913.5
44544.00 ,46907.8,48669.4,46323.1,48285.9
44545.00 ,48280.4,49500,46583.2,48752.8
44546.00 ,48764.2,49450.7,47529.8,47830
44547.00 ,47830.9,48009.8,45498.7,46534
44548.00 ,46515,47367.3,45534.9,46807.9
44549.00 ,46792.6,48290,46440.6,47360.9
44550.00 ,47323.5,47544.9,45577.4,46792.1
44551.00 ,46751.6,49330.1,46653.2,49286.3
44552.00 ,49296.5,49580,48442.6,48997.7
44553.00 ,49001.5,51391.5,48039.6,50777.4
44554.00 ,50777.4,51865.3,50447.7,50785.3
44555.00 ,50796.7,51169.8,50191.3,50633.5
44556.00 ,50629.8,51295.3,49558.9,50999.9
44557.00 ,51005.7,52093.7,50469.2,51035.4
44558.00 ,51035.4,51075.5,47319.7,47701.2
44559.00 ,47689.6,48141.9,46591.3,47284.1
44560.00 ,47284.1,47909.6,45983.6,47083.4
44561.00 ,47094.3,48558,45682.6,46308.6
44562.00 ,46308.6,47954.8,46142.9,47450.2
44563.00 ,47450.2,47981.1,46669.3,47264.8
44564.00 ,47264.8,47574.8,45704.6,46222.5
44565.00 ,46222.5,47556.9,45490.9,46155.3
44566.00 ,46147.8,47063.5,42495.8,43439.9
44567.00 ,43432.7,43800,42429.3,43176.6
44568.00 ,43176.6,43237.1,40803.8,41537.7
44569.00 ,41537.7,42300,40586.2,41912.1
44570.00 ,41911.1,42786.7,41204.1,42205.4
44571.00 ,42205.4,42280,39716,41605
44572.00 ,41602.5,43099.2,41265.9,42717.4
44573.00 ,42717.6,44324.6,42458.5,43860.5
44574.00 ,43860.5,44522.2,42328.1,42614.5
44575.00 ,42611.7,43466.1,41746.9,43263.5
44576.00 ,43263.5,43821.6,42587,43259
44577.00 ,43259,43485.5,42614.4,43207.3
44578.00 ,43209.7,43280.3,41557.4,42094
44579.00 ,42094,42687.7,41296.5,42495.6
44580.00 ,42493.7,42577.9,41152.3,41989.5
44581.00 ,41989.5,43518.1,40864.1,41175.5
44582.00 ,41172.6,41185.2,35560.1,36138.8
44583.00 ,36143.5,36849,34100.5,34885.5
44584.00 ,34878.6,36159.8,34607.9,35518.3
44585.00 ,35515.6,37471.4,32971.8,36382.2
44586.00 ,36382.2,37557.2,35713.7,36796.4
44587.00 ,36803.4,38898.2,36261.7,36535.4
44588.00 ,36531.3,37208.7,35528.3,36727.2
44589.00 ,36717.7,38011.4,36169.5,37667.1
44590.00 ,37662.6,38657.3,37299.3,38154.7
44591.00 ,38151.4,38369.3,37367.7,37800.9
44592.00 ,37798.7,38757.4,36667.3,38431.7
44593.00 ,38431.7,39284.8,38019,38717.7
44594.00 ,38717.8,38911.3,36623.5,37036.9
44595.00 ,37046.9,37159.1,36299.6,36951.6
44596.00 ,36951.9,40901.4,36893.1,40674.2
44597.00 ,40674.3,41946.9,40593.1,41604.8
44598.00 ,41604.8,42192.7,41141.2,41612
44599.00 ,41599.6,44526.2,41513.8,44097
44600.00 ,44100.8,45523.6,42703.2,44102.5
44601.00 ,44102.7,44848.3,43152.4,44606.8
44602.00 ,44606.8,45861.2,43239.1,43980.3
44603.00 ,43988.4,44078.4,42014.6,42167.6
44604.00 ,42167.7,43091.1,41764.2,42196.6
44605.00 ,42196.6,42780.6,41890.9,42405.4
44606.00 ,42397,42865.8,41579.9,42690.9
44607.00 ,42699.4,44526.7,42448.4,44195.7
44608.00 ,44195.7,44776.9,43340.1,44032.5
44609.00 ,44032.5,44190.7,40097.2,40737
44610.00 ,40742.8,40984.5,39537.2,39964.4
44611.00 ,39959.3,40462.2,39658.9,40035.4
44612.00 ,40035.4,40164.1,38018.3,38838.2
44613.00 ,38834.6,39499.4,36818.6,37562.1
44614.00 ,37557.1,38313.7,36362.1,37936.3
44615.00 ,37936.3,39262.9,37118.6,37670.8
44616.00 ,37670.8,39478.2,34356.9,37885.2
44617.00 ,37892.4,39699.4,37892.4,39454.4
44618.00 ,39443,40189.3,38594.7,39160.9
44619.00 ,39160.8,39871.6,37018.5,37825.8
44620.00 ,37815.3,44243.5,37367.9,42965.9
44621.00 ,42864.4,44971.4,42828.2,44168.9
44622.00 ,44170,45263.6,43342.8,44076.2
44623.00 ,44076.2,44213.3,41845.6,42493.2
44624.00 ,42500.6,42618.5,38563.6,39016.4
44625.00 ,39013.4,39620.8,38415.7,39476.8
44626.00 ,39476.8,39705.3,38101.2,38985.8
44627.00 ,38990,39553.4,37162.4,38222.9
44628.00 ,38222.9,39365.8,37875.2,38560
44629.00 ,38560,42592.5,38537.8,41900.4
44630.00 ,41900.4,42143.9,38615.4,39457.8
44631.00 ,39457.8,40248.3,38240.9,38924.5
44632.00 ,38924.5,39460,38668.3,39105.9
44633.00 ,39105.9,39311.7,37618,37750.4
44634.00 ,37734.1,39932.4,37559.8,39331.6
44635.00 ,39334.3,39888.8,38107.6,39481.8
44636.00 ,39478.8,41724.3,38928.4,40895.3
44637.00 ,40895.3,41483.8,40508.1,41008.3
44638.00 ,41008.3,42346.2,40167.6,41708
44639.00 ,41708,42417,41524.9,41971.3
44640.00 ,41971.3,42312,40929.4,41428.9
44641.00 ,41452.6,41555,40487,41136.5
44642.00 ,41136.4,43260,40896,42550
44643.00 ,42551.3,42796.5,41772.4,42509.9
44644.00 ,42509.9,44238.6,42415.9,43969.4
44645.00 ,43965.3,45121.2,43605.2,44321.6
44646.00 ,44317.2,44815.4,44089.6,44381.9
44647.00 ,44383.7,46818.5,44383.7,46562.6
44648.00 ,46585.9,48209.1,46367.7,47633
44649.00 ,47657.8,48115.6,46903.6,47295.4
44650.00 ,47290.7,47709.8,46637.7,47001.6
44651.00 ,47001.6,47609.5,45532.7,45766.3
44652.00 ,45770.9,46743.4,44213.3,46323.6
44653.00 ,46323.6,47223.4,45641.9,46249.5
44654.00 ,46249.5,46853,45546.2,46853
44655.00 ,46950.5,47406,45131.5,46458.4
44656.00 ,46463,47214.1,45469.8,45958.1
44657.00 ,45958.1,46059.4,43182.9,43845.8
44658.00 ,43845.8,43895.2,42731.6,43524.4
44659.00 ,43524.4,43979.6,42463.6,42580.4
44660.00 ,42580.4,42677.1,42119.8,42570.8
44661.00 ,42570.8,43423.3,42450.5,42678.2
44662.00 ,42736.2,42743.8,39316.1,39400.6
44663.00 ,39411.1,40658.1,39211.8,39701.7
44664.00 ,39701.7,41554.9,39568.9,41232.1
44665.00 ,41232.1,41508.3,39560.9,39974
44666.00 ,39974,40706.5,39774.4,40434.1
44667.00 ,40434.1,40715.8,40008,40490.1
44668.00 ,40518.4,40688.1,39837.3,40216.2
44669.00 ,40216.2,41105.6,38544.4,40813.5
44670.00 ,40813.5,41764.6,40583.2,41321.3
44671.00 ,41321.3,42200.3,40903.2,41504.8
44672.00 ,41504.8,42984.6,40551.5,40730.5
44673.00 ,40730.5,40819,39190.4,39619.2
44674.00 ,39623.1,39988,39288.9,39903
44675.00 ,39903,39948,39138.1,39641.3
44676.00 ,39641.3,40380.4,38217,40235.6
44677.00 ,40235.6,40796.9,37788.9,38333.9
44678.00 ,38333.9,39470.3,37745.6,39225.9
44679.00 ,39225.9,40376.7,38888.3,39848.7
44680.00 ,39853.5,39926.8,38175,38564
44681.00 ,38564,38799.2,38159.4,38301.1
44682.00 ,38301.1,38667.8,37388.5,38342.6
44683.00 ,38350,39169.9,38057.5,38643.5
44684.00 ,38643.5,38903.5,37513.9,37791.8
44685.00 ,37791.8,40020,37627.4,39741.1
44686.00 ,39741.1,39833.6,35567.2,36451.3
44687.00 ,36451.3,36665.7,35313.9,35956.3
44688.00 ,35955.5,36142.7,35089,35089
44689.00 ,35200.6,35711.2,33723.1,34450.4
44690.00 ,34450.4,34466.2,30321.9,30800.7
44691.00 ,30832.3,32640.7,29779,30286.1
44692.00 ,30224.3,32090.5,27673.9,28893.2
44693.00 ,28893.5,30069.7,25474.1,28368.4
44694.00 ,28359.3,30954.3,28273.1,29995.6
44695.00 ,29995.6,30087.9,28602.5,29661.4
44696.00 ,29662.8,31169,29443.7,31029.6
44697.00 ,31035.5,31362.3,29140.8,30135.2
44698.00 ,30130.8,30718.6,29440.4,30512.1
44699.00 ,30512.1,30652.6,28714.6,29152.1
44700.00 ,29171.2,30506.4,28635.5,30245.9
44701.00 ,30248.7,30715.4,28692.7,29148.6
44702.00 ,29148.4,29617.3,28916.1,29314.4
44703.00 ,29314.4,30271.9,29218.8,29981.7
44704.00 ,29981.7,30632.1,29025.1,29311.1
44705.00 ,29308.2,29610.2,28644.7,29548.3
44706.00 ,29548.5,30190.5,29264.8,29789.2
44707.00 ,29789.2,29853.8,28001.4,29546.4
44708.00 ,29546.4,29640,28253.3,28690.6
44709.00 ,28690,29174.1,28413.3,28983.5
44710.00 ,28983.5,29445.6,28813,29203.5
44711.00 ,29203.5,32183,29144.7,31780.5
44712.00 ,31785.7,32373.1,31203,31682.3
44713.00 ,31695.6,31957.2,29343.6,29564.1
44714.00 ,29566.3,30381.2,29490.5,30340.1
44715.00 ,30340.1,30674,29312.4,29786.2
44716.00 ,29781.2,29923.7,29460.2,29823.7
44717.00 ,29823.7,30157.8,29519.1,29937.1
44718.00 ,29937.1,31738.6,29846.9,31462.1
44719.00 ,31462.1,31554.4,29195.8,31383.4
44720.00 ,31375.8,31467.6,29859.3,30404.5
44721.00 ,30404.5,30673.6,29945.5,30114
44722.00 ,30114,30337.3,28840.4,29162.6
44723.00 ,29161.4,29407.6,28069.3,28528.8
44724.00 ,28528.8,28651.1,26859.6,27335.7
44725.00 ,27335.7,27415.3,22567.1,23031.7
44726.00 ,23026.9,23138,20822.5,21463.2
44727.00 ,21481.5,22416.6,20079.7,22157.8
44728.00 ,22188.3,22548.1,20724.5,20985.9
44729.00 ,20435.1,21334.3,20218.9,20533.1
44730.00 ,20531.7,20750.4,17599,18494.7
44731.00 ,18507.8,20660.8,17936.1,20369.1
44732.00 ,20375.3,21045.7,19616.5,20396
44733.00 ,20396,21700.6,20241.7,20950.4
44734.00 ,20949.8,20979,19756.5,19985.3
44735.00 ,19987.8,21098.1,19870.8,20667.1
44736.00 ,20667.1,21430.7,20663,21295.5
44737.00 ,21300.8,21588.8,20897.5,21495.7
44738.00 ,21489.4,21867.2,21124,21368.6
44739.00 ,21368.8,21519.4,20494.3,20784.6
44740.00 ,20791.5,21192.8,20181.3,20368.2
44741.00 ,20362.5,20429.5,19872.7,20270.8
44742.00 ,20270.8,20300.3,18615,18797.2
44743.00 ,18797.2,20870.1,18719.9,19375.7
44744.00 ,19375.7,19438.2,18980.4,19332
44745.00 ,19332,19614.2,18773.6,19279.7
44746.00 ,19275.8,20095.2,19030.4,19934.8
44747.00 ,19934.8,20723.9,19283.9,20350.7
44748.00 ,20355.6,20455.5,19746.6,20332.5
44749.00 ,20332.5,21820.7,20249.9,21654.4
44750.00 ,21655.6,22487,21177.3,21706.8
44751.00 ,21682,21956.8,21312.4,21695.8
44752.00 ,21696.3,21737.1,20647.1,21022.9
44753.00 ,21022.7,21022.8,20202.1,20224.1
44754.00 ,20220.4,20221.8,19256.8,19328.7
44755.00 ,19330.5,20091.8,18910.3,19908.9
44756.00 ,19906.2,20884.7,19611.5,20468.1
44757.00 ,20465.9,21185.8,20371.5,20960.9
44758.00 ,20959.7,21566.3,20473.5,21190.8
44759.00 ,21192.8,21658.9,20823.6,21016.7
44760.00 ,21023.9,22767.3,20748.4,21653.4
44761.00 ,21656.2,23804.1,21554.5,23656.5
44762.00 ,23651.8,24275.2,22927,23608.5
44763.00 ,23608.2,23639.9,22344.2,23212.4
44764.00 ,23213.3,23761.4,22510.5,22739.1
44765.00 ,22746.3,22998.3,21946.4,22249
44766.00 ,22245.5,22906.9,22235.8,22811.5
44767.00 ,22814.5,23013.1,21561.1,22027
44768.00 ,22029.9,22029.9,20728.4,20945
44769.00 ,20945.8,23109,20923.5,22680.9
44770.00 ,22680.1,24200.9,22590.2,23931.8
44771.00 ,23931.1,24443.9,23434.8,23828.9
44772.00 ,23798.1,24669.4,23658.3,23868.8
44773.00 ,23868.6,24194.2,23411.6,23595.8
44774.00 ,23595.4,23596.4,22858.8,23027.4
44775.00 ,23027.8,23457.2,22664.8,23097.7
44776.00 ,23084.4,23629.5,22688.5,23274.3
44777.00 ,23276.8,23283.7,22407.1,22496
44778.00 ,22494.6,23471.3,22456.7,23111.4
44779.00 ,23112.8,23352.2,23016.4,23183.9
44780.00 ,23183.8,23404.4,22853.5,23315.4
44781.00 ,23314.8,24246,23066.3,23852.2
44782.00 ,23851.6,23935.3,22882.1,23195.8
44783.00 ,23195.8,24230.6,22694.3,23966.2
44784.00 ,23967.2,24889.4,23816.2,24195.3
44785.00 ,24194.7,24291.2,23594.8,24125.5
44786.00 ,24129.1,24898,24087.2,24508.5
44787.00 ,24507.8,25040.6,24218.9,24352.3
44788.00 ,24352.2,25214.6,23885.3,24031
44789.00 ,24032.7,24251.2,23683.1,23950.8
44790.00 ,23951.8,24445.2,23184.2,23332.9
44791.00 ,23333.6,23598.9,23239.8,23363.3
44792.00 ,23362.4,23402.9,20999.2,21024.6
44793.00 ,21083.8,21370.3,20766.9,21121.1
44794.00 ,21121,21800,21055.5,21534.4
44795.00 ,21532.9,21669.1,20903.8,21097.4
44796.00 ,21097.9,21665.4,20913.3,21489.2
